fortnight of year,average amount,average distance
0,19.903702637879007,5.576410377852007
1,19.03660791389491,4.804840472309411
2,19.553891327960553,5.950485844928121
3,20.17207809365826,6.1857672125677
4,20.692357713183547,6.60698631990843
5,21.121659489582353,5.532999252101388
6,21.515559094583587,5.679323077938295
7,21.428088376232783,5.800344707645977
8,21.921570348909114,6.249697852127242
9,22.806499070460386,7.9990632224691165
10,22.452110839872283,6.378971191608972
11,22.352167683521646,6.153370128239474
12,22.16938397436561,5.811220970695942
