weekday,hour,passengers,hour_rank
1,0,1.5299456507188562,1
1,1,1.527838567375201,2
1,2,1.5080726185191242,3
2,0,1.4679887711672552,1
2,1,1.4442867916810471,2
2,2,1.4231993989051486,3
3,0,1.4200313882151518,1
3,1,1.4175124740006593,2
3,2,1.4104520814693964,3
4,1,1.4088480212656305,1
4,0,1.4012291857176276,2
4,2,1.4011489645958584,3
5,23,1.4053823152498932,1
5,1,1.402590728520038,2
5,0,1.4010382527988254,3
6,23,1.475576918073731,1
6,22,1.444813976205668,2
6,2,1.4230581143524386,3
7,23,1.522606766277207,1
7,22,1.5068176194011382,2
7,0,1.4993154284898547,3
